ÐòºÅ,X,Y
1,2.706399373,51.70590486
2,2.708878722,51.71345071
3,2.710239671,51.70179507
4,2.711160443,51.72036774
5,2.713598728,51.72796492
6,2.714079967,51.69768527
7,2.718055014,51.69317124
8,2.719065618,51.70974516
9,2.721401238,51.73249499
10,2.723040661,51.7185711
11,2.723377531,51.71210324
12,2.723557195,51.68834279
13,2.724347712,51.70434179
14,2.728821322,51.69862851
15,2.728929118,51.68305172
16,2.729171665,51.7262517
17,2.731821696,51.71138458
18,2.733995619,51.67609876
19,2.735706909,51.69283437
20,2.73833448,51.72167029
21,2.738828555,51.67105023
22,2.73887347,51.73581876
23,2.7406701,51.70446755
24,2.741002476,51.6840219
25,2.744443025,51.69049875
26,2.744990996,51.66693594
27,2.746688814,51.69943699
28,2.747182886,51.71650498
29,2.748575275,51.72962038
30,2.749069348,51.67765284
31,2.75032699,51.70913879
32,2.751000726,51.65847381
33,2.751404968,51.65793483
34,2.753021935,51.68542327
35,2.7536283,51.73871582
36,2.754010082,51.69561915
37,2.757657243,51.66844511
38,2.758074958,51.72315251
39,2.758950816,51.68818559
40,2.759355059,51.70280567
41,2.760163543,51.73581876
42,2.761537964,51.67496688
43,2.764125113,51.71318121
44,2.764834782,51.69624797
45,2.765033695,51.68157335
46,2.766900908,51.73177634
47,2.767125487,51.70698284
48,2.769461105,51.65847381
49,2.76982043,51.68924111
50,2.77269504,51.66359421
51,2.772910636,51.6941549
52,2.774042514,51.7275318
53,2.774743199,51.74271782
54,2.77768069,51.70307517
55,2.780420553,51.71551683
56,2.781049373,51.72301777
57,2.781742359,51.70933129
58,2.783474823,51.64877201
59,2.785361287,51.68488428
60,2.786843507,51.65456614
61,2.788460474,51.64621181
62,2.790212188,51.66036027
63,2.790885926,51.73312381
64,2.79155966,51.69512508
65,2.791829156,51.65200594
66,2.793446124,51.64365161
67,2.793715619,51.66601966
68,2.79366172,51.74589786
69,2.795063091,51.63529728
70,2.796949553,51.649311
71,2.797892785,51.70590486
72,2.801126719,51.71129475
73,2.801665707,51.62128356
74,2.804495401,51.62977264
75,2.805034389,51.65254493
76,2.80557338,51.63745324
77,2.806381863,51.70792607
78,2.807998832,51.62640396
79,2.808807315,51.72193979
80,2.80970563,51.63430913
81,2.810424282,51.67221804
82,2.810693777,51.64284313
83,2.813927711,51.6319286
84,2.813927711,51.64823302
85,2.814089409,51.74972468
86,2.814601448,51.73891795
87,2.816218416,51.61521993
88,2.816353162,51.6393397
89,2.816757404,51.69458609
90,2.817161646,51.65389241
91,2.817161648,51.68353681
92,2.818778614,51.67518248
93,2.819048109,51.69755053
94,2.820260836,51.64540332
95,2.820395582,51.65955179
96,2.820665076,51.68919619
97,2.823090528,51.61218812
98,2.823745015,51.71310421
99,2.824976991,51.64257363
100,2.825111737,51.69000468
101,2.827132947,51.67100531
102,2.827833632,51.62554157
103,2.82901941,51.69243013
104,2.829827893,51.65456614
105,2.830636376,51.67679944
106,2.830737437,51.60881943
107,2.832343174,51.72616187
108,2.832477923,51.75414439
109,2.833870311,51.64661605
110,2.833870312,51.68218934
111,2.834139806,51.65941704
112,2.835217783,51.62209204
113,2.836457459,51.68844161
114,2.83917037,51.67886557
115,2.839421899,51.74287952
116,2.840068687,51.6692536
117,2.840068687,51.70288652
118,2.840499879,51.63545897
119,2.840607676,51.65200594
120,2.841281412,51.60821307
121,2.842673801,51.61822929
122,2.843572117,51.67572147
123,2.843976359,51.624248
124,2.847830131,51.63190165
125,2.848153524,51.67248753
126,2.848557766,51.66494168
127,2.85138746,51.68111136
128,2.852330691,51.71708888
129,2.853049342,51.64549316
130,2.853273921,51.61185125
131,2.85327392,51.66224674
132,2.853166122,51.75786341
133,2.853812911,51.61853471
